Date add,Word,Translation,Date of the last training,Training status,Number of training
2022-08-08,abandon,бросать,2022-08-08,T,0
2022-08-08,absolute,абсолютный,2022-08-08,T,0
2022-08-08,absorb,поглощать,2022-08-08,T,0
2022-08-08,abstract,абстрактный,2022-08-08,T,0
2022-08-08,acceptable,приемлемый,2022-08-08,T,0
2022-08-08,accidentally,случайно,2022-08-08,T,0
2022-08-08,accommodate,вмещать,2022-08-08,T,0
2022-08-08,accompany,сопровождать,2022-08-08,T,0
2022-08-08,accounting,учёт,2022-08-08,T,0
2022-08-08,accuracy,точность,2022-08-08,T,0
2022-08-08,accurate,точный,2022-08-08,T,0
2022-08-08,accurately,точно,2022-08-08,T,0
2022-08-08,accuse,обвинять,2022-08-08,T,0
2022-08-08,acid,кислота,2022-08-08,T,0
2022-08-08,acknowledge,признавать,2022-08-08,T,0
2022-08-08,acquire,приобретать,2022-08-08,T,0
2022-08-08,activate,активировать,2022-08-08,T,0
2022-08-08,actual,фактический,2022-08-08,T,0
2022-08-08,adapt,адаптировать,2022-08-08,T,0
2022-08-08,addiction,зависимость,2022-08-08,T,0
2022-08-08,additional,дополнительный,2022-08-08,T,0
2022-08-08,additionally,дополнительно,2022-08-08,T,0
2022-08-08,adequate,адекватный,2022-08-08,T,0
2022-08-08,adequately,адекватно,2022-08-08,T,0
2022-08-08,adjust,регулировать,2022-08-08,T,0
2022-08-08,administration,администрация,2022-08-08,T,0
2022-08-08,adopt,усыновлять,2022-08-08,T,0
2022-08-08,advance,улучшение,2022-08-08,T,0
2022-08-08,affair,дело,2022-08-08,T,0
2022-08-08,affordable,доступный,2022-08-08,T,0
2022-08-08,afterwards,после,2022-08-08,T,0
2022-08-08,agency,агентство,2022-08-08,T,0
2022-08-08,agriculture,сельское хозяйство,2022-08-08,T,0
2022-08-08,aid,помощь,2022-08-08,T,0
2022-08-08,aids,СПИД,2022-08-08,T,0
2022-08-08,aircraft,самолет,2022-08-08,T,0
2022-08-08,alien,пришелец,2022-08-08,T,0
2022-08-08,alter,изменять,2022-08-08,T,0
2022-08-08,altogether,в целом,2022-08-08,T,0
2022-08-08,ambulance,скорая помощь,2022-08-08,T,0
2022-08-08,amount,количество,2022-08-08,T,0
2022-08-08,amusing,забавный,2022-08-08,T,0
2022-08-08,analyst,аналитик,2022-08-08,T,0
2022-08-08,anger,гнев,2022-08-08,T,0
2022-08-08,angle,угол,2022-08-08,T,0
2022-08-08,animation,анимация,2022-08-08,T,0
2022-08-08,anniversary,годовщина,2022-08-08,T,0
2022-08-08,annual,годовой,2022-08-08,T,0
2022-08-08,annually,ежегодно,2022-08-08,T,0
2022-08-08,anticipate,предвидеть,2022-08-08,T,0
2022-08-08,anxiety,тревожность,2022-08-08,T,0
2022-08-08,anxious,тревожный,2022-08-08,T,0
2022-08-08,apparent,очевидный,2022-08-08,T,0
2022-08-08,apparently,видимо,2022-08-08,T,0
2022-08-08,appeal,обращаться,2022-08-08,T,0
2022-08-08,applicant,заявитель,2022-08-08,T,0
2022-08-08,approach,подход,2022-08-08,T,0
2022-08-08,appropriate,подходящий,2022-08-08,T,0
2022-08-08,appropriately,надлежащим образом,2022-08-08,T,0
2022-08-08,approval,одобрение,2022-08-08,T,0
2022-08-08,approve,утвердить,2022-08-08,T,0
2022-08-08,arise,возникать,2022-08-08,T,0
2022-08-08,armed,вооруженный,2022-08-08,T,0
2022-08-08,arms,оружие,2022-08-08,T,0
2022-08-08,arrow,стрела,2022-08-08,T,0
2022-08-08,artificial,искусственный,2022-08-08,T,0
2022-08-08,artistic,художественный,2022-08-08,T,0
2022-08-08,artwork,произведение искусства,2022-08-08,T,0
2022-08-08,ashamed,пристыженный,2022-08-08,T,0
2022-08-08,aside,в сторону,2022-08-08,T,0
2022-08-08,aspect,аспект,2022-08-08,T,0
2022-08-08,assess,оценить,2022-08-08,T,0
2022-08-08,assessment,оценка,2022-08-08,T,0
2022-08-08,asset,актив,2022-08-08,T,0
2022-08-08,assign,назначать,2022-08-08,T,0
2022-08-08,assistance,помощь,2022-08-08,T,0
2022-08-08,associate,ассоциировать,2022-08-08,T,0
2022-08-08,associated,связанный,2022-08-08,T,0
2022-08-08,association,ассоциация,2022-08-08,T,0
2022-08-08,assumption,предположение,2022-08-08,T,0
2022-08-08,assure,уверять,2022-08-08,T,0
2022-08-08,astonishing,удивительный,2022-08-08,T,0
2022-08-08,attachment,прикрепление,2022-08-08,T,0
2022-08-08,attempt,попытка,2022-08-08,T,0
2022-08-08,auction,торг,2022-08-08,T,0
2022-08-08,audio,аудио,2022-08-08,T,0
2022-08-08,automatic,автоматический,2022-08-08,T,0
2022-08-08,automatically,автоматически,2022-08-08,T,0
2022-08-08,awareness,осознание,2022-08-08,T,0
2022-08-08,awkward,неловкий,2022-08-08,T,0
2022-08-08,bacteria,бактерии,2022-08-08,T,0
2022-08-08,badge,значок,2022-08-08,T,0
2022-08-08,balanced,сбалансированный,2022-08-08,T,0
2022-08-08,ballet,балет,2022-08-08,T,0
2022-08-08,balloon,"баллон, воздушный шар",2022-08-08,T,0
2022-08-08,barely,едва,2022-08-08,T,0
2022-08-08,bargain,сделка,2022-08-08,T,0
2022-08-08,barrier,барьер,2022-08-08,T,0
2022-08-08,basically,в основном,2022-08-08,T,0
2022-08-08,basket,корзина,2022-08-08,T,0
2022-08-08,bat,летучая мышь,2022-08-08,T,0
2022-08-08,battle,сражаться,2022-08-08,T,0
2022-08-08,bear,носить,2022-08-08,T,0
2022-08-08,beg,просить,2022-08-08,T,0
2022-08-08,being,существо,2022-08-08,T,0
2022-08-08,beneficial,выгодный,2022-08-08,T,0
2022-08-08,bent,изогнутый,2022-08-08,T,0
2022-08-08,bet,делать ставку,2022-08-08,T,0
2022-08-08,bias,предвзятость,2022-08-08,T,0
2022-08-08,bid,ставка,2022-08-08,T,0
2022-08-08,bill,выставлять счет,2022-08-08,T,0
2022-08-08,biological,биологический,2022-08-08,T,0
2022-08-08,bitter,горький,2022-08-08,T,0
2022-08-08,blame,обвинять,2022-08-08,T,0
2022-08-08,blanket,покрывало,2022-08-08,T,0
2022-08-08,blind,слепой,2022-08-08,T,0
2022-08-08,bold,смелый,2022-08-08,T,0
2022-08-08,bombing,бомбардировка,2022-08-08,T,0
2022-08-08,bond,связь,2022-08-08,T,0
2022-08-08,booking,бронирование,2022-08-08,T,0
2022-08-08,boost,способствовать росту,2022-08-08,T,0
2022-08-08,bound,связанный,2022-08-08,T,0
2022-08-08,brick,кирпич,2022-08-08,T,0
2022-08-08,brief,краткий,2022-08-08,T,0
2022-08-08,briefly,кратко,2022-08-08,T,0
2022-08-08,broadcast,трансляция,2022-08-08,T,0
2022-08-08,broadcaster,диктор,2022-08-08,T,0
2022-08-08,broadly,широко,2022-08-08,T,0
2022-08-08,bug,ошибка,2022-08-08,T,0
2022-08-08,bullet,пуля,2022-08-08,T,0
2022-08-08,bunch,гроздь,2022-08-08,T,0
2022-08-08,burn,жечь,2022-08-08,T,0
2022-08-08,Bush,куст,2022-08-08,T,0
2022-08-08,cabin,салон самолета,2022-08-08,T,0
2022-08-08,cable,кабель,2022-08-08,T,0
2022-08-08,calculate,подсчитывать,2022-08-08,T,0
2022-08-08,canal,канал,2022-08-08,T,0
2022-08-08,cancel,отменить,2022-08-08,T,0
2022-08-08,cancer,Рак,2022-08-08,T,0
2022-08-08,candle,свеча,2022-08-08,T,0
2022-08-08,capable,способный,2022-08-08,T,0
2022-08-08,capacity,вместимость,2022-08-08,T,0
2022-08-08,capture,захватить,2022-08-08,T,0
2022-08-08,carbon,углерод,2022-08-08,T,0
2022-08-08,cast,бросать,2022-08-08,T,0
2022-08-08,casual,повседневный,2022-08-08,T,0
2022-08-08,cave,пещера,2022-08-08,T,0
2022-08-08,cell,клетка,2022-08-08,T,0
2022-08-08,certainty,определенность,2022-08-08,T,0
2022-08-08,certificate,сертификат,2022-08-08,T,0
2022-08-08,chairman,председатель,2022-08-08,T,0
2022-08-08,challenging,испытывающий,2022-08-08,T,0
2022-08-08,championship,чемпионат,2022-08-08,T,0
2022-08-08,characteristic,характеристика,2022-08-08,T,0
2022-08-08,charming,обаятельный,2022-08-08,T,0
2022-08-08,chase,гнаться,2022-08-08,T,0
2022-08-08,cheer,развеселить,2022-08-08,T,0
2022-08-08,chief,главный,2022-08-08,T,0
2022-08-08,choir,хор,2022-08-08,T,0
2022-08-08,chop,нарубить,2022-08-08,T,0
2022-08-08,circuit,схема,2022-08-08,T,0
2022-08-08,circumstance,обстоятельство,2022-08-08,T,0
2022-08-08,cite,цитировать,2022-08-08,T,0
2022-08-08,citizen,гражданин,2022-08-08,T,0
2022-08-08,civil,гражданский,2022-08-08,T,0
2022-08-08,civilization,цивилизация,2022-08-08,T,0
2022-08-08,clarify,уточнить,2022-08-08,T,0
2022-08-08,classic,классический,2022-08-08,T,0
2022-08-08,classify,классифицировать,2022-08-08,T,0
2022-08-08,cleaning,очистка,2022-08-08,T,0
2022-08-08,clerk,продавец,2022-08-08,T,0
2022-08-08,cliff,утес,2022-08-08,T,0
2022-08-08,clip,клип,2022-08-08,T,0
2022-08-08,close,завершение,2022-08-08,T,0
2022-08-08,closely,близко,2022-08-08,T,0
2022-08-08,coincidence,стечение обстоятельств,2022-08-08,T,0
2022-08-08,collapse,коллапс,2022-08-08,T,0
2022-08-08,collector,коллектор,2022-08-08,T,0
2022-08-08,colony,колония,2022-08-08,T,0
2022-08-08,colourful,красочный,2022-08-08,T,0
2022-08-08,combination,сочетание,2022-08-08,T,0
2022-08-08,comfort,комфорт,2022-08-08,T,0
2022-08-08,comic,комический,2022-08-08,T,0
2022-08-08,commander,командир,2022-08-08,T,0
2022-08-08,commission,комиссия,2022-08-08,T,0
2022-08-08,commitment,обязательство,2022-08-08,T,0
2022-08-08,committee,комитет,2022-08-08,T,0
2022-08-08,commonly,обычно,2022-08-08,T,0
2022-08-08,comparative,сравнительный,2022-08-08,T,0
2022-08-08,completion,завершение,2022-08-08,T,0
2022-08-08,complicated,усложнённый,2022-08-08,T,0
2022-08-08,component,составная часть,2022-08-08,T,0
2022-08-08,compose,составить,2022-08-08,T,0
2022-08-08,composer,композитор,2022-08-08,T,0
2022-08-08,compound,смесь,2022-08-08,T,0
2022-08-08,comprehensive,всесторонний,2022-08-08,T,0
2022-08-08,comprise,включать,2022-08-08,T,0
2022-08-08,compulsory,обязательный,2022-08-08,T,0
2022-08-08,concentration,концентрация,2022-08-08,T,0
2022-08-08,concept,концепция,2022-08-08,T,0
2022-08-08,concerned,обеспокоенный,2022-08-08,T,0
2022-08-08,concrete,бетон,2022-08-08,T,0
2022-08-08,conduct,провести,2022-08-08,T,0
2022-08-08,confess,признаться,2022-08-08,T,0
2022-08-08,confidence,уверенность,2022-08-08,T,0
2022-08-08,conflict,конфликт,2022-08-08,T,0
2022-08-08,confusing,заблуждение,2022-08-08,T,0
2022-08-08,confusion,путаница,2022-08-08,T,0
2022-08-08,conscious,сознательный,2022-08-08,T,0
2022-08-08,consequently,как следствие,2022-08-08,T,0
2022-08-08,conservation,сохранение,2022-08-08,T,0
2022-08-08,conservative,консервативный,2022-08-08,T,0
2022-08-08,considerable,значительный,2022-08-08,T,0
2022-08-08,considerably,значительно,2022-08-08,T,0
2022-08-08,consideration,рассмотрение,2022-08-08,T,0
2022-08-08,consistent,последовательный,2022-08-08,T,0
2022-08-08,consistently,последовательно,2022-08-08,T,0
2022-08-08,conspiracy,заговор,2022-08-08,T,0
2022-08-08,constant,постоянный,2022-08-08,T,0
2022-08-08,constantly,постоянно,2022-08-08,T,0
2022-08-08,construct,сооружать,2022-08-08,T,0
2022-08-08,construction,строительство,2022-08-08,T,0
2022-08-08,consult,советоваться,2022-08-08,T,0
2022-08-08,consultant,консультант,2022-08-08,T,0
2022-08-08,contemporary,современный,2022-08-08,T,0
2022-08-08,contest,конкурс,2022-08-08,T,0
2022-08-08,contract,контракт,2022-08-08,T,0
2022-08-08,contribute,делать вклад,2022-08-08,T,0
2022-08-08,contribution,вклад,2022-08-08,T,0
2022-08-08,controversial,спорный,2022-08-08,T,0
2022-08-08,controversy,полемика,2022-08-08,T,0
2022-08-08,convenience,удобство,2022-08-08,T,0
2022-08-08,convention,условность,2022-08-08,T,0
2022-08-08,conventional,обычный,2022-08-08,T,0
2022-08-08,convert,преобразовывать,2022-08-08,T,0
2022-08-08,convey,передавать,2022-08-08,T,0
2022-08-08,convinced,убежденный,2022-08-08,T,0
2022-08-08,convincing,убедительный,2022-08-08,T,0
2022-08-08,cope,справиться,2022-08-08,T,0
2022-08-08,core,ядро,2022-08-08,T,0
2022-08-08,corporate,корпоративный,2022-08-08,T,0
2022-08-08,corporation,корпорация,2022-08-08,T,0
2022-08-08,corridor,коридор,2022-08-08,T,0
2022-08-08,council,совет,2022-08-08,T,0
2022-08-08,counter,стойка,2022-08-08,T,0
2022-08-08,county,графство,2022-08-08,T,0
2022-08-08,courage,мужество,2022-08-08,T,0
2022-08-08,coverage,покрытие,2022-08-08,T,0
2022-08-08,crack,трещина,2022-08-08,T,0
2022-08-08,craft,ремесло,2022-08-08,T,0
2022-08-08,crash,крушение,2022-08-08,T,0
2022-08-08,creation,создание,2022-08-08,T,0
2022-08-08,creativity,творческий подход,2022-08-08,T,0
2022-08-08,creature,существо,2022-08-08,T,0
2022-08-08,credit,кредит,2022-08-08,T,0
2022-08-08,crew,экипаж,2022-08-08,T,0
2022-08-08,crises,кризис,2022-08-08,T,0
2022-08-08,crisis,кризис,2022-08-08,T,0
2022-08-08,criterion,критерий,2022-08-08,T,0
2022-08-08,critic,критик,2022-08-08,T,0
2022-08-08,critical,критический,2022-08-08,T,0
2022-08-08,critically,критически,2022-08-08,T,0
